date,code,name,weight,value,qty,price
2020-01-03,159949,华安创业板50ETF,0.5000074723549168,514728.58482443925,767106.6837920108,0.671
2020-01-03,512480,国联安半导体ETF,0.5000074723549168,514728.58482443925,344530.51193068223,1.494
2020-01-03,CASH,,-1.4944709833597211e-05,-15.384708766510357,,
2020-01-10,159949,华安创业板50ETF,0.20036065349515247,214118.27182770905,308083.8443564159,0.695
2020-01-10,512480,国联安半导体ETF,0.20036065349515247,214118.27182770905,137255.30245365965,1.56
2020-01-10,512400,南方中证申万有色金属ETF,0.20036065349515247,214118.27182770905,284731.74445174076,0.752
2020-01-10,512980,华夏中证传媒ETF,0.20036065349515247,214118.27182770905,233753.57186431118,0.916
2020-01-10,515000,华夏中证5G通信主题ETF,0.20036065349515245,214118.27182770902,160508.44964595878,1.334
2020-01-10,CASH,,-0.0018032674757622763,-1927.0875235125714,,
2020-01-17,159949,华安创业板50ETF,0.20012858848638804,218535.4430564105,310419.6634324013,0.704
2020-01-17,512480,国联安半导体ETF,0.20012858848638804,218535.4430564105,132125.41901838605,1.654
2020-01-17,512400,南方中证申万有色金属ETF,0.20012858848638806,218535.44305641053,290219.7118943035,0.753
2020-01-17,512980,华夏中证传媒ETF,0.20012858848638806,218535.44305641053,239622.19633378347,0.912
2020-01-17,513100,纳斯达克100ETF,0.20012858848638804,218535.4430564105,320949.7560561951,0.6809023497688751
2020-01-17,CASH,,-0.0006429424319402596,-702.0771509283259,,
2020-02-03,CASH,,1.0,1003554.1013379693,,
2020-03-06,512480,国联安半导体ETF,0.20030045067601404,200710.82026759387,101935.40897287651,1.969
2020-03-06,159915,易方达创业板ETF,0.20030045067601404,200710.82026759387,95078.55057678533,2.111
2020-03-06,512170,医疗ETF,0.20030045067601404,200710.82026759387,124433.24257135391,1.613
2020-03-06,159949,华安创业板50ETF,0.20030045067601404,200710.82026759387,247485.59835708243,0.811
2020-03-06,512720,国泰中证计算机ETF,0.20030045067601404,200710.82026759387,141945.41744525734,1.414
2020-03-06,CASH,,-0.0015022533800700768,-1505.3311520069255,,
2020-03-13,512480,国联安半导体ETF,0.20024332725953,188196.043005258,98377.44014911551,1.913
2020-03-13,159949,华安创业板50ETF,0.20024332725953,188196.043005258,248607.7186331017,0.757
