date,ret,benchmark_ret
2020-01-02,0.0,0.0
2020-01-03,-0.0008098073648598048,-0.0004576691674245126
2020-01-06,0.00921700637015399,-0.00012257659902470408
2020-01-07,0.002259038059100993,0.006938426572156597
2020-01-08,-0.018616383490512978,-0.012209796309072263
2020-01-09,0.028499009354485905,0.00912617427474638
2020-01-10,0.018610482885699442,-0.0008371886230233994
2020-01-13,0.02072420773524919,0.007528075462496897
2020-01-14,-0.002131604115852781,-0.002808474853718601
2020-01-15,0.00026700023512993276,-0.005401664724702382
2020-01-16,-0.0018783268736360936,-0.00516401416422696
2020-01-17,-0.0016950536771522806,0.0004603001677572216
2020-01-20,0.015449030952300546,0.00659763498310495
2020-01-21,-0.012177517295328122,-0.014098192155984846
2020-01-22,0.021838572443413362,0.0028219525828092618
2020-01-23,-0.017647629181480218,-0.02751837373458521
2020-02-03,-0.08785046947234354,-0.07724503179543396
2020-02-04,0.0,0.01335539207298031
2020-02-05,0.0,0.012503197656872134
2020-02-06,0.0,0.017182572013364927
2020-02-07,0.0,0.0032980872210457424
2020-02-10,0.0,0.005050132755486603
2020-02-11,0.0,0.003869934765340588
2020-02-12,0.0,0.008693257753972228
2020-02-13,0.0,-0.007115038817533503
2020-02-14,0.0,0.003762464410747901
2020-02-17,0.0,0.022836413201472228
2020-02-18,0.0,0.0004524701855663782
2020-02-19,0.0,-0.0032060602243504377
2020-02-20,0.0,0.018401547085066028
2020-02-21,0.0,0.003140104430335855
2020-02-24,0.0,-0.0027753021792831234
2020-02-25,0.0,-0.005998549105265094
2020-02-26,0.0,-0.008337398981098865
2020-02-27,0.0,0.00113791191156154
2020-02-28,0.0,-0.03711560981757611
2020-03-02,0.0,0.03146438709247357
2020-03-03,0.0,0.0073936419257127906
2020-03-04,0.0,0.006271181400496095
2020-03-05,0.0,0.019926180393177617
2020-03-06,0.0,-0.012099579480524869
2020-03-09,-0.05381051646891888,-0.030060856592709517
2020-03-10,0.04347433646230181,0.01816707896025238
2020-03-11,-0.03011196990997289,-0.009425172903287038
2020-03-12,-0.01842840075385299,-0.015169527410488048
2020-03-13,0.0013096686357600973,-0.012334247538726029
2020-03-16,-0.071978723418058,-0.03400016693062724
2020-03-17,0.0,-0.0034464412348247375
2020-03-18,0.0,-0.01830632085222539
2020-03-19,0.0,-0.009757559855113396
2020-03-20,0.0,0.016093970312309303
2020-03-23,0.0,-0.031122683490565684
2020-03-24,0.0,0.023408680733202125
2020-03-25,0.0,0.02172795119668458
2020-03-26,0.0,-0.005996568151104831
2020-03-27,0.0,0.0026373362469895856
2020-03-30,0.0,-0.009014130639062201
2020-03-31,0.0,0.001121863822767244
2020-04-01,0.0,-0.005735382664266098
2020-04-02,0.0,0.016864373371287655
2020-04-03,0.0,-0.00598819407632345
2020-04-07,0.0,0.02054134118575801
2020-04-08,0.0,-0.0019122485653704224
2020-04-09,0.0,0.003741960645300857
2020-04-10,0.0,-0.010358809074901387
2020-04-13,0.0,-0.004856915338491308
2020-04-14,0.0,0.015894443789686852
2020-04-15,0.0,-0.005697696339559966
2020-04-16,0.0,0.0031164915441022067
2020-04-17,0.0,0.006581711989815275
2020-04-20,0.01651457305867976,0.00495262454223111
2020-04-21,-0.012910966447422179,-0.008953383162381257
2020-04-22,0.006169489239912895,0.006001741060263965
2020-04-23,-0.00025998826880002657,-0.0019272287428182544
2020-04-24,-0.0209774429126538,-0.01055839723741303
2020-04-27,0.005422021646183106,0.002480301965904541
2020-04-28,0.01136631316086878,-0.001943175178787282
2020-04-29,-0.008176075433118157,0.004419179337970203
2020-04-30,0.019581977137664852,0.013335969348528653
2020-05-06,0.026239046816865175,0.006313804988807847
2020-05-07,-0.00016919687295946506,-0.002299054250314292
2020-05-08,0.007624348618700871,0.008295597841284863
2020-05-11,-0.011793547096143664,-0.0001871970998955641
2020-05-12,0.011896097655536675,-0.001121320214646726
2020-05-13,0.009573091993129168,0.002245849639432862
2020-05-14,-0.010607637868255027,-0.00956091164748718
2020-05-15,0.009419452145670304,-0.0006560193872368059
2020-05-18,-0.011101180790154874,0.0024260412995271707
2020-05-19,0.026683532679734112,0.008053785571349836
2020-05-20,-0.01680120084335801,-0.005119065361749997
2020-05-21,-0.013292018473491374,-0.005483854635892738
2020-05-22,-0.023215563705477504,-0.018884391636598497
2020-05-25,-0.0009754307399630902,0.0014944389456830187
2020-05-26,0.01796687303285749,0.010140988016196006
2020-05-27,-0.018232978036099468,-0.0034227434150918556
2020-05-28,-0.004887021624699672,0.003319933277025955
2020-05-29,0.007712058559509849,0.0021533808676905686
2020-06-01,0.021428353718074833,0.022115090323736375
2020-06-02,-0.004677833932533182,0.002046695668667775
2020-06-03,0.003581755944422671,0.000675361590581014
2020-06-04,0.004425171695073171,-0.0014093318980040737
2020-06-05,0.009952293693545666,0.003955809212705441
2020-06-08,-0.009970214185892612,0.002378873474434995
2020-06-09,0.012850611451906468,0.006243168715328817
