#{"t_start": 1700553659.4535732, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-766.745137,59,140.574375
-822.915071,68,141.052632
-799.039947,83,141.573931
-1092.737731,90,142.202731
-820.657486,67,142.832331
-754.643707,63,143.293778
-1264.073826,105,143.799365
-1038.96127,98,144.57038
-2017.224299,138,145.365968
-713.289894,56,146.466913
-814.747157,62,146.883157
-1168.72641,93,147.367566
-1036.034967,90,148.034356
-1009.28576,84,148.672061
-1027.391492,85,149.2559
-758.916029,58,149.833276
-937.576774,86,150.26247
-1416.917532,106,150.956014
-892.182988,75,151.669042
-790.118495,61,152.192687
-1057.026745,90,152.621724
-960.407842,94,153.23573
-982.357726,95,153.879742
-713.894463,59,154.485431
-1433.495218,109,154.946871
-840.376897,74,155.636258
-1191.924626,102,156.175431
-1885.643474,133,156.987134
-819.657596,70,157.851029
-1330.811971,101,158.38035
-989.801004,82,159.060251
-813.615715,67,159.676833
-1142.382125,89,160.122403
-746.147886,56,160.763156
-745.617331,80,161.170965
-793.888668,67,161.707193
-1281.274122,97,162.184231
-1278.062959,102,162.878759
-1278.22948,110,163.620795
-841.383881,69,164.323766
-2011.326157,140,164.82943
-1019.585065,86,165.719931
-1057.303555,88,166.33795
-1108.110279,90,166.933968
-835.594401,64,167.625352
-1441.357115,108,168.107076
-1390.675625,104,168.908945
-1275.464656,110,169.661975
-1324.763944,104,170.476748
-1163.669004,110,171.206243
-1640.125109,121,172.090605
-990.202707,86,172.920568
-1973.954029,135,173.526822
-907.217469,85,174.454343
-1057.804952,87,175.027763
-988.985892,85,175.615229
-789.329755,82,176.255068
-760.771388,61,176.825939
-1536.909986,116,177.294195
-970.287191,84,178.096793
-1501.163065,118,178.787576
-786.321421,69,179.64444
-2507.569886,227,180.283814
-841.996487,68,181.873478
-871.493063,75,182.365005
-1205.390158,105,182.973701
-849.680601,72,183.685968
-1171.289729,93,184.210021
-703.929493,54,184.829292
-1794.474644,125,185.224369
-812.125808,68,186.116437
-1632.479145,123,186.614372
-846.985569,69,187.40024
-738.966365,60,187.850402
-1606.785667,118,188.296244
-1926.910504,131,189.162988
-738.339813,59,190.009465
-1197.730782,93,190.509868
-963.52172,81,191.179679
