#{"t_start": 1700553659.4535732, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-1358.73365,102,691.443398
-780.860799,81,692.101903
-737.700357,55,692.630509
-980.329453,81,693.021202
-851.150524,71,693.595294
-735.32887,57,694.039825
-876.59416,73,694.433437
-1298.447467,101,694.916887
-711.307126,57,695.573039
-1907.632529,129,696.008393
-785.557133,68,696.928514
-1256.859435,107,697.417062
-701.002068,56,698.055884
-808.157155,66,698.542268
-2023.686483,138,699.01914
-1788.639518,126,700.241799
-1107.75885,89,701.099611
-789.483343,59,701.665257
-786.176358,66,702.061313
-1182.052006,94,702.548
-774.437396,63,703.119427
-1418.509677,115,703.574903
-813.808833,70,704.280203
-1131.934066,90,704.785715
-1444.238279,116,705.464783
-1099.275187,89,706.390399
-1342.809605,111,707.080985
-875.709561,76,707.765049
-1324.275983,110,708.266146
-1828.518315,129,709.002244
-1100.096571,90,709.794585
-799.325898,66,710.356306
-1219.454723,100,710.800324
-863.194792,72,711.433038
-1096.967753,88,711.889602
-1925.569109,134,712.492389
-739.934842,57,713.273225
-1022.988358,95,713.654043
-1238.57754,97,714.263875
-910.186317,85,714.85508
-906.3433,79,715.485965
-747.161693,59,715.986904
-857.474865,89,716.391407
-907.530059,83,716.933531
-1267.154707,98,717.467079
-1082.470568,87,718.056367
-1042.68315,85,718.621708
-1115.915735,90,719.246218
-890.491547,74,719.861681
-847.064277,71,720.364885
-858.57837,73,720.876841
-786.144131,66,721.490666
-1954.093215,132,722.019625
-825.14253,69,722.930431
-881.929287,92,723.445072
-745.652545,61,724.119053
-792.657649,68,724.525504
-738.503282,55,724.956597
-968.412361,92,725.339342
-1430.067068,106,725.905071
-797.393197,70,726.539815
-957.374915,84,726.964195
-1335.432752,106,727.505186
-792.76909,64,728.165313
-962.296519,81,728.593684
-1253.730308,99,729.101934
-738.544546,60,729.719114
-1210.571203,95,730.10536
-737.997422,61,730.695878
-882.380857,77,731.092996
-1804.137735,128,731.614677
-1063.592201,97,732.436006
-956.652379,79,733.00075
-1920.244701,133,733.51769
-1119.327977,116,734.354255
-1259.104734,96,735.131517
-1745.914784,146,735.882478
-853.200989,79,737.042508
-886.745435,73,737.592247
-1422.520938,107,738.139662
-1056.007469,99,738.978364
-1324.414901,101,739.714295
-1896.044324,133,740.775603
-1185.386203,92,742.001736
-823.700774,67,742.780633
-1232.814991,100,743.294166
-1580.336438,123,744.036525
-1232.852047,105,744.921531
-692.460732,55,745.703258
-745.376832,57,746.109686
-1067.747146,88,746.556637
-1366.817116,104,747.211387
-842.343138,72,748.01956
-749.954002,59,748.538185
-1213.715494,94,749.005685
-1969.79612,132,749.700682
-1459.733359,112,750.741617
-776.667514,69,751.649523
-702.99295,55,752.208006
-1036.332365,97,752.66486
-912.768235,95,753.386039
-1703.69407,127,754.002676
-1132.09514,95,754.88299
-780.167005,64,755.443294
-1480.852867,115,755.908154
-749.086568,59,756.627211
-743.516516,58,757.032372
-1253.284548,99,757.434196
-1856.397096,134,758.120872
-891.791787,79,758.889045
-2085.624945,143,759.436182
-967.435121,85,760.297687
-1012.464319,84,760.86328
-813.207656,71,761.432954
-886.186531,75,761.903741
-753.264483,65,762.328257
-1400.048172,108,762.761736
-1571.790788,116,763.474588
-1028.980248,90,764.148154
-1366.082487,105,764.731869
-818.82557,86,765.390895
-931.306734,78,765.979747
-738.917126,57,766.488612
-810.660394,67,766.896449
-718.137865,57,767.359126
-752.724261,60,767.801271
-809.345553,66,768.203496
-1209.155947,100,768.708395
-775.521338,62,769.333572
-1139.38429,92,769.798523
-1988.703081,153,770.461072
-813.786148,65,771.490946
-874.695152,75,771.943102
-731.643028,58,772.401693
-1051.128546,85,772.808485
-789.703115,67,773.395802
-1473.824005,117,773.921
