date,code,name,weight,value,qty,price
2020-01-03,512000,华夏中证全指证券公司ETF,0.3333400571880297,338186.17220740294,339203.7835580772,0.997
2020-01-03,512880,国泰中证全指证券公司ETF,0.3333400571880297,338186.17220740294,323623.1312989502,1.045
2020-01-03,512480,国联安半导体ETF,0.3333400571880297,338186.17220740294,226362.8997372175,1.494
2020-01-03,CASH,,-2.017156408918579e-05,-20.464819332859406,,
2020-01-10,512000,华夏中证全指证券公司ETF,0.20036065518276763,204899.80219959503,207178.7686547978,0.989
2020-01-10,512480,国联安半导体ETF,0.20036065518276763,204899.80219959503,131346.02705102245,1.56
2020-01-10,512980,华夏中证传媒ETF,0.20036065518276763,204899.80219959503,223689.74039257097,0.916
2020-01-10,512400,南方中证申万有色金属ETF,0.20036065518276763,204899.80219959503,272473.1412228657,0.752
2020-01-10,159949,华安创业板50ETF,0.20036065518276763,204899.80219959503,294819.8592799929,0.695
2020-01-10,CASH,,-0.0018032759138380998,-1844.1289170255186,,
2020-01-17,512480,国联安半导体ETF,0.20024524582891035,207157.8857849979,125246.60567412207,1.654
2020-01-17,512980,华夏中证传媒ETF,0.20024524582891035,207157.8857849979,227146.80458881348,0.912
2020-01-17,512400,南方中证申万有色金属ETF,0.20024524582891035,207157.8857849979,275110.07408366253,0.753
2020-01-17,513100,纳斯达克100ETF,0.20024524582891035,207157.8857849979,304240.2274794842,0.6809023497688751
2020-01-17,512720,国泰中证计算机ETF,0.20024524582891035,207157.8857849979,162222.30680109467,1.277
2020-01-17,CASH,,-0.0012262291445515941,-1268.5596405634133,,
2020-02-03,CASH,,1.0,940905.1579824255,,
2020-03-06,512480,国联安半导体ETF,0.20030045067601404,188181.03159648512,95571.87993727025,1.969
2020-03-06,159915,易方达创业板ETF,0.20030045067601404,188181.03159648512,89143.07512860498,2.111
2020-03-06,515070,华夏中证人工智能ETF,0.200300450676014,188181.0315964851,151149.42296906433,1.245
2020-03-06,512170,医疗ETF,0.20030045067601404,188181.03159648512,116665.23967544024,1.613
2020-03-06,159949,华安创业板50ETF,0.20030045067601404,188181.03159648512,232035.7972829656,0.811
2020-03-06,CASH,,-0.0015022533800701432,-1411.357736973674,,
2020-03-13,512480,国联安半导体ETF,0.200127248622138,176427.88931748236,92225.76545608068,1.913
2020-03-13,515070,华夏中证人工智能ETF,0.200127248622138,176427.88931748236,148508.32434131514,1.188
2020-03-13,512170,医疗ETF,0.200127248622138,176427.88931748236,120018.97232481794,1.47
2020-03-13,159949,华安创业板50ETF,0.200127248622138,176427.88931748236,233061.9409742171,0.757
2020-03-13,515880,国泰中证全指通信设备ETF,0.20012724862213804,176427.8893174824,135609.4460549442,1.301
2020-03-13,CASH,,-0.0006362431106899552,-560.8982778939826,,
2020-03-16,CASH,,1.0,820924.3636179573,,
2020-04-17,512010,易方达沪深300医药卫生ETF,0.20030045067601404,164184.87272359148,79278.06505243432,2.071
2020-04-17,511880,可转债ETF,0.20030045067601404,164184.87272359148,1628.9636249624618,100.791
2020-04-17,511010,国债ETF,0.20030045067601404,164184.87272359148,1314.6990224815947,124.884
2020-04-17,511270,十年地方债ETF,0.20030045067601404,164184.87272359148,1502.300073416277,109.289
