date,ret,benchmark_ret
2020-01-02,0.0,0.0
2020-01-03,-0.0015070536402912449,-0.0004576691674245126
2020-01-06,0.0023228686717862157,-0.00012257659902470408
2020-01-07,0.0020987156536949048,0.006938426572156597
2020-01-08,-0.028033572817493524,-0.012209796309072263
2020-01-09,0.0191794733422872,0.00912617427474638
2020-01-10,0.014879232289273014,-0.0008371886230233994
2020-01-13,0.019562540990417432,0.007528075462496897
2020-01-14,-0.0030302113023098487,-0.002808474853718601
2020-01-15,-0.0004048114100589917,-0.005401664724702382
2020-01-16,-0.003846095077084999,-0.00516401416422696
2020-01-17,-0.001119665348514265,0.0004603001677572216
2020-01-20,0.011682932224570397,0.00659763498310495
2020-01-21,-0.013972580769436083,-0.014098192155984846
2020-01-22,0.021485199244176245,0.0028219525828092618
2020-01-23,-0.018688319222205818,-0.02751837373458521
2020-02-03,-0.09154815109562053,-0.07724503179543396
2020-02-04,0.0,0.01335539207298031
2020-02-05,0.0,0.012503197656872134
2020-02-06,0.0,0.017182572013364927
2020-02-07,0.0,0.0032980872210457424
2020-02-10,0.0,0.005050132755486603
2020-02-11,0.0,0.003869934765340588
2020-02-12,0.0,0.008693257753972228
2020-02-13,0.0,-0.007115038817533503
2020-02-14,0.0,0.003762464410747901
2020-02-17,0.0,0.022836413201472228
2020-02-18,0.0,0.0004524701855663782
2020-02-19,0.0,-0.0032060602243504377
2020-02-20,0.0,0.018401547085066028
2020-02-21,0.0,0.003140104430335855
2020-02-24,0.0,-0.0027753021792831234
2020-02-25,0.0,-0.005998549105265094
2020-02-26,0.0,-0.008337398981098865
2020-02-27,0.0,0.00113791191156154
2020-02-28,0.0,-0.03711560981757611
2020-03-02,0.0,0.03146438709247357
2020-03-03,0.0,0.0073936419257127906
2020-03-04,0.0,0.006271181400496095
2020-03-05,0.0,0.019926180393177617
2020-03-06,0.0,-0.012099579480524869
2020-03-09,-0.05198289828619229,-0.030060856592709517
2020-03-10,0.036500183098224115,0.01816707896025238
2020-03-11,-0.027894757541365167,-0.009425172903287038
2020-03-12,-0.018153693726765452,-0.015169527410488048
2020-03-13,-0.00034753173264889803,-0.012334247538726029
2020-03-16,-0.06939388461344431,-0.03400016693062724
2020-03-17,0.0,-0.0034464412348247375
2020-03-18,0.0,-0.01830632085222539
2020-03-19,0.0,-0.009757559855113396
2020-03-20,0.0,0.016093970312309303
2020-03-23,0.0,-0.031122683490565684
2020-03-24,0.0,0.023408680733202125
2020-03-25,0.0,0.02172795119668458
2020-03-26,0.0,-0.005996568151104831
2020-03-27,0.0,0.0026373362469895856
